country,size,count
myanmar,1-10,567
myanmar,11-50,739
myanmar,1001-5000,50
myanmar,201-500,172
myanmar,501-1000,91
myanmar,51-200,303
myanmar,10001+,9
myanmar,5001-10000,15
namibia,501-1000,28
namibia,201-500,45
namibia,11-50,288
namibia,1001-5000,20
namibia,5001-10000,2
namibia,51-200,105
namibia,1-10,460
namibia,10001+,2
nauru,1-10,2
nauru,11-50,1
nauru,51-200,1
nepal,11-50,1150
nepal,51-200,384
nepal,1001-5000,47
nepal,201-500,122
nepal,1-10,1026
nepal,5001-10000,8
nepal,501-1000,51
nepal,10001+,6
netherlands,11-50,63662
netherlands,1001-5000,1959
netherlands,501-1000,2074
netherlands,1-10,151346
netherlands,5001-10000,250
netherlands,10001+,429
netherlands,51-200,19860
netherlands,201-500,5350
netherlands antilles,1001-5000,5
netherlands antilles,51-200,55
netherlands antilles,501-1000,8
netherlands antilles,11-50,141
netherlands antilles,201-500,23
netherlands antilles,1-10,313
netherlands antilles,10001+,1
new caledonia,1-10,149
new caledonia,51-200,31
new caledonia,201-500,8
new caledonia,11-50,71
new caledonia,1001-5000,9
new caledonia,10001+,1
new caledonia,501-1000,4
new zealand,51-200,3147
new zealand,5001-10000,50
new zealand,10001+,41
new zealand,11-50,10027
new zealand,1001-5000,217
new zealand,1-10,17872
new zealand,201-500,760
new zealand,501-1000,288
nicaragua,1-10,511
nicaragua,201-500,63
nicaragua,11-50,421
nicaragua,51-200,191
nicaragua,501-1000,31
nicaragua,1001-5000,22
nicaragua,5001-10000,3
niger,11-50,38
niger,1-10,38
niger,51-200,18
niger,201-500,4
niger,1001-5000,2
nigeria,501-1000,366
nigeria,51-200,2310
nigeria,1001-5000,273
nigeria,1-10,6896
nigeria,201-500,970
nigeria,10001+,104
nigeria,11-50,6466
nigeria,5001-10000,81
niue,1-10,7
niue,10001+,1
niue,51-200,1
niue,11-50,1
norfolk island,1-10,1
norfolk island,11-50,1
north korea,11-50,1
north korea,201-500,1
northern mariana islands,1-10,13
northern mariana islands,51-200,4
northern mariana islands,11-50,19
northern mariana islands,201-500,4
northern mariana islands,1001-5000,1
northern mariana islands,501-1000,1
norway,5001-10000,88
norway,1-10,19769
norway,201-500,1243
norway,1001-5000,563
norway,51-200,3997
norway,11-50,11043
norway,501-1000,554
norway,10001+,81
oman,11-50,871
oman,51-200,444
oman,1-10,671
oman,201-500,228
oman,501-1000,87
oman,1001-5000,88
oman,5001-10000,20
oman,10001+,10
pakistan,51-200,3372
pakistan,1-10,6259
pakistan,1001-5000,643
pakistan,201-500,1678
pakistan,501-1000,833
pakistan,5001-10000,157
pakistan,11-50,7764
pakistan,10001+,169
palau,201-500,3
palau,1-10,3
palau,11-50,8
palau,51-200,2
palestine,201-500,28
palestine,51-200,71
palestine,501-1000,16
palestine,11-50,191
palestine,10001+,3
palestine,1-10,234
palestine,1001-5000,10
palestine,5001-10000,1
panama,1001-5000,68
panama,10001+,20
panama,201-500,173
panama,1-10,2038
panama,501-1000,66
panama,11-50,1451
panama,51-200,534
panama,5001-10000,11
papua new guinea,1-10,91
papua new guinea,201-500,41
papua new guinea,51-200,95
papua new guinea,1001-5000,21
papua new guinea,10001+,2
papua new guinea,501-1000,24
papua new guinea,11-50,85
papua new guinea,5001-10000,6
paraguay,1-10,741
paraguay,1001-5000,37
paraguay,10001+,3
paraguay,51-200,316
paraguay,201-500,143
paraguay,11-50,668
paraguay,501-1000,58
paraguay,5001-10000,5
peru,5001-10000,80
peru,1001-5000,447
peru,501-1000,499
peru,10001+,82
peru,201-500,1189
peru,51-200,3208
peru,1-10,11446
peru,11-50,9190
philippines,501-1000,605
philippines,1001-5000,383
philippines,10001+,136
philippines,5001-10000,98
philippines,201-500,1373
philippines,51-200,3609
philippines,11-50,6772
philippines,1-10,5404
pitcairn,1-10,1
pitcairn,11-50,2
poland,1-10,18777
poland,11-50,13706
poland,10001+,106
poland,501-1000,620
poland,51-200,4821
poland,5001-10000,73
poland,1001-5000,529
poland,201-500,1603
portugal,51-200,3897
portugal,11-50,11683
portugal,201-500,1118
portugal,10001+,69
portugal,1-10,18644
